country,year,gdp_pc_chppp,gini_disp,gini_mkt
ARG,1961,3011.90043593336,35.8,37.3
ARG,1962,2823.64993538063,35.7,37.3
ARG,1963,2756.92322281386,35.6,37.2
ARG,1964,2901.52911351065,35.5,37.2
ARG,1965,3294.49087761029,35.5,37.1
ARG,1966,3228.24080215785,35.5,37.1
ARG,1967,3325.07005834226,35.5,37.2
ARG,1968,3372.70735255101,35.5,37.1
ARG,1969,3618.3515328436,35.5,37.1
ARG,1970,3635.18192551119,35.5,37.1
ARG,1971,3742.27064668018,35.4,37.1
ARG,1972,3767.19026662992,35.2,37
ARG,1973,3910.494018304,35.2,37
ARG,1974,4022.24730111854,35.2,37
ARG,1975,3914.19008763115,35.5,37.3
ARG,1976,3808.78479414519,35.9,37.6
ARG,1977,3903.4650736806,36.4,37.9
ARG,1978,3725.95096421383,36.9,38.2
ARG,1979,4008.26684342578,37.3,38.5
ARG,1980,4177.95346718623,37.8,38.8
ARG,1981,4077.93565428215,38.3,39.2
ARG,1982,4016.46545696823,38.7,39.5
ARG,1983,4319.30580311843,39.1,39.9
ARG,1984,4539.49924610371,39.6,40.3
ARG,1985,4285.31610495646,40,40.7
ARG,1986,4806.08471992634,40.4,41
ARG,1987,5090.84946055472,40.9,41.4
ARG,1988,5259.07178736807,41.4,41.7
ARG,1989,5092.34653633335,41.8,42
ARG,1990,5406.26523393907,42.1,42.3
ARG,1991,6406.54716875751,42.2,42.6
ARG,1992,7605.83369785603,42.3,42.8
ARG,1993,8633.8929980993,42.6,43.1
ARG,1994,9957.27198046804,43.1,43.5
ARG,1995,10912.5699330509,43.7,43.9
ARG,1996,13962.0520533153,44.2,44.3
ARG,1997,14302.3395507183,44.8,44.6
ARG,1998,14202.3446333172,45.3,45
ARG,1999,13165.2448410135,45.6,45.2
ARG,2000,12869.5290188606,46,45.4
ARG,2001,11870.5048763959,46.3,45.5
ARG,2002,10878.5153760832,46.3,45.4
ARG,2003,11338.5678595946,45.8,45.1
ARG,2004,12074.4031271131,45,44.6
ARG,2005,12764.8074170549,44,44
ARG,2006,13770.2402582187,43.1,43.3
ARG,2007,14940.0219226005,42.1,42.6
ARG,2008,15703.4372439602,41.3,42.1
ARG,2009,14598.8331644121,40.6,41.6
ARG,2010,16042.5020106703,39.9,41.1
ARG,2011,17235.4349968009,39.2,40.6
ARG,2012,16966.9444769056,38.6,40.2
ARG,2013,17105.4237630414,38,39.8
ARG,2014,16393.5607963047,37.7,39.4
ARG,2015,16673.5531252035,37.4,39.2
ARG,2016,16335.1616201399,37.3,39.1
ARG,2017,16771.3722929384,37.2,39
ARM,1990,6157.91798837477,32.1,45.7
ARM,1991,5590.20249531903,33.2,46.4
ARM,1992,3255.10379917386,34.4,47.1
ARM,1993,2966.64865589502,35.5,47.7
ARM,1994,2532.11170297578,36.7,48.4
ARM,1995,2712.20895608659,37.8,49
ARM,1996,2911.3245289502,39,49.6
ARM,1997,2773.79496762642,39.5,50
ARM,1998,2838.76711155028,40.1,50.4
ARM,1999,2872.62616758087,40.4,50.6
ARM,2000,3009.37238672335,40.1,50.4
ARM,2001,3299.72918274995,39.8,50.2
ARM,2002,3715.65139033245,39.3,49.9
ARM,2003,4212.02618759518,39.1,49.8
