country;id;gini_mkt_coeff;gini_mkt_t;gini_mkt_t_abs;gini_disp_coeff;gini_disp_t;gini_disp_t_abs;no_obs;df;critical_value;gini_disp_sign5;gini_mkt_sign5
PRT;67;-3,70;-1,34;1,34;0,28;0,09;0,09;44;43;2,017;0;0
AUS;3;-0,17;-0,43;0,43;-0,27;-0,86;0,86;45;44;2,015;0;0
SWE;77;-0,62;-1,55;1,55;-0,22;-1,37;1,37;53;52;2,007;0;0
ZAF;86;12,96;1,15;1,15;6,97;1,05;1,05;36;35;2,030;0;0
FIN;26;-0,45;-1,25;1,25;-0,41;-1,44;1,43;47;46;2,013;0;0
USA;85;-1,09;-1,46;1,46;-0,69;-1,26;1,26;52;51;2,008;0;0
BRA;9;-0,63;-0,84;0,84;0,15;0,17;0,17;53;52;2,007;0;0
ESP;24;0,79;0,66;0,66;-2,09;-1,96;1,96;38;37;2,026;0;0
ROU;69;0,59;0,73;0,73;0,90;1,13;1,13;23;22;2,074;0;0
CIV;15;17,54;1,45;1,45;-13,78;-1,14;1,14;26;25;2,060;0;0
NPL;60;-0,44;-0,70;0,70;-0,50;-0,71;0,71;29;28;2,048;0;0
DOM;22;-0,44;-0,19;0,19;2,12;1,03;1,03;26;25;2,060;0;0
URY;84;0,25;0,12;0,12;-1,28;-0,76;0,76;32;31;2,040;0;0
AUT;4;-0,78;-1,34;1,34;-0,75;-1,30;1,30;30;29;2,045;0;0
LUX;49;0,06;0,12;0,12;0,71;1,05;1,05;27;26;2,056;0;0
PHL;65;0,69;0,99;0,99;0,77;0,88;0,88;50;49;2,010;0;0
NOR;59;0,68;1,20;1,20;-0,23;-0,34;0,34;43;42;2,018;0;0
THA;78;-0,85;-0,41;0,41;-0,73;-0,30;0,30;51;50;2,009;0;0
TUR;80;1,51;1,70;1,70;1,07;1,92;1,92;26;25;2,060;0;0
BLR;8;-5,03;-1,58;1,58;-6,76;-0,93;0,93;23;22;2,074;0;0
FRA;28;0,08;0,07;0,07;0,36;0,64;0,64;50;49;2,010;0;0
BEL;5;0,91;1,34;1,34;0,29;0,47;0,47;33;32;2,037;0;0
SVK;75;-0,39;-0,83;0,83;-0,37;-0,88;0,88;22;21;2,080;0;0
